store_id,sale_id,customer_id,sale_date,total_amount
1,560983,3491,2021-04-30,24
1,577120,1597,2021-05-16,84
1,596012,4159,2021-06-04,96
1,602087,4198,2021-06-09,144
1,612052,5394,2021-06-18,48
1,614768,1958,2021-06-20,48
1,681140,4260,2021-08-22,60
1,682902,6782,2021-08-23,24
1,682902,6782,2021-08-23,24
1,688156,563,2021-08-29,36
1,696395,1991,2021-09-07,48
2,537875,12160,2021-04-23,36
2,541954,11291,2021-04-27,132
2,548317,11779,2021-05-03,12
2,548783,9298,2021-05-04,48
2,552867,14460,2021-05-08,36
2,576978,9046,2021-06-06,96
2,591161,9189,2021-06-20,84
2,591161,9189,2021-06-20,84
2,636597,12493,2021-08-08,132
2,650760,10295,2021-08-23,24
2,651194,9528,2021-08-23,48
3,532273,17003,2021-05-01,36
3,564418,19494,2021-06-10,84
3,564698,15481,2021-06-11,108
3,567739,16476,2021-06-14,48
3,586973,17711,2021-07-10,24
3,597247,15799,2021-07-22,424
3,610298,16932,2021-08-06,24
3,610298,16932,2021-08-06,24
3,616359,15710,2021-08-13,12
3,619752,19226,2021-08-16,144
3,642055,19954,2021-09-13,36
4,522758,23902,2021-04-30,48
4,544850,25267,2021-05-31,108
4,548504,25339,2021-06-05,120
4,570157,23017,2021-07-05,24
4,571417,23347,2021-07-08,96
4,576458,22673,2021-17-14,60
4,609904,24014,2021-08-25,48
4,610104,99999,2021-08-26,60
4,616401,26882,2021-09-02,144
4,616401,26882,2021-09-02,144
4,625208,27380,2021-09-16,96
5,521860,27926,2021-05-25,24
5,537244,29285,2021-06-18,48
5,538562,29783,2021-06-20,24
5,540586,29922,2021-06-24,36
5,542176,28267,2021-06-27,120
5,559593,28750,2021-07-26,36
5,569424,30184,2021-08-09,36
5,569606,27728,2021-08-10,96
5,569424,30184,2021-08-09,36
5,569424,30184,2021-08-09,36
5,580412,27654,2021-08-27,96
55,590790,27997,2021-09-14,48
